"Plot","Rep","Entry","Name","Expt"
2383,2,206,"PI 320941 LSP AGL","Spain 2017"
2384,2,96,"ILL 6002 AGL","Spain 2017"
2385,2,175,"PI 298357 LSP AGL","Spain 2017"
2386,2,48,"IG 1959 AGL","Spain 2017"
2387,2,209,"PI 320952 LSP AGL","Spain 2017"
2388,2,306,"PI 472615 LSP AGL","Spain 2017"
2389,2,198,"PI 302398 LSP AGL","Spain 2017"
2390,2,284,"PI 432212 LSP AGL","Spain 2017"
2391,2,197,"PI 300250 LSP AGL","Spain 2017"
2392,2,139,"PI 181771 LSP AGL","Spain 2017"
2393,2,79,"ILL 4665 AGL","Spain 2017"
2394,2,240,"PI 426797 LSP AGL","Spain 2017"
2395,2,278,"PI 432145 LSP AGL","Spain 2017"
2396,2,215,"PI 339283 LSP AGL","Spain 2017"
2397,2,226,"PI 374116 LSP AGL","Spain 2017"
2398,2,271,"PI 432002 LSP AGL","Spain 2017"
2399,2,307,"PI 472629 LSP AGL","Spain 2017"
2400,2,292,"PI 468901 AGL","Spain 2017"
2401,2,146,"PI 207492 LSP AGL","Spain 2017"
2402,2,214,"PI 339266 LSP AGL","Spain 2017"
2403,2,5,"CDC Cherie AGL","Spain 2017"
2404,2,313,"PI 518734 LSP AGL","Spain 2017"
2405,2,156,"PI 250158 LSP AGL","Spain 2017"
2406,2,264,"PI 431873 LSP AGL","Spain 2017"
2407,2,105,"ILL 7663 AGL","Spain 2017"
2408,2,93,"ILL 5883 AGL","Spain 2017"
2409,2,202,"PI 320935 LSP AGL","Spain 2017"
2410,2,275,"PI 432085 LSP AGL","Spain 2017"
2411,2,2,"CDC Rosie AGL","Spain 2017"
2412,2,300,"PI 472488 LSP AGL","Spain 2017"
2413,2,100,"ILL 624 AGL","Spain 2017"
2414,2,289,"PI 451763 LSP AGL","Spain 2017"
2415,2,239,"PI 426784 LSP AGL","Spain 2017"
2416,2,213,"PI 329167 LSP AGL","Spain 2017"
2417,2,324,"W6 27767 LSP AGL","Spain 2017"
2418,2,236,"PI 420929 LSP AGL","Spain 2017"
2419,2,109,"ILL 7946 AGL","Spain 2017"
2420,2,104,"ILL 7558 AGL","Spain 2017"
2421,2,308,"PI 477921 LSP AGL","Spain 2017"
2422,2,291,"PI 468900 LSP AGL","Spain 2017"
2423,2,151,"PI 212610 LSP AGL","Spain 2017"
2424,2,34,"CN 105862 AGL","Spain 2017"
2425,2,165,"PI 297285 LSP AGL","Spain 2017"
2426,2,80,"ILL 4671 AGL","Spain 2017"
2427,2,254,"PI 431714 LSP AGL","Spain 2017"
2428,2,246,"PI 431636 LSP AGL","Spain 2017"
2429,2,17,"CDC Robin AGL","Spain 2017"
2430,2,125,"ILWL 118 AGL","Spain 2017"
2431,2,27,"CN 105605 AGL","Spain 2017"
2432,2,242,"PI 431618 LSP AGL","Spain 2017"
2433,2,237,"PI 426202 LSP AGL","Spain 2017"
2434,2,282,"PI 432190 LSP AGL","Spain 2017"
2435,2,95,"ILL 5945 AGL","Spain 2017"
