"Entry","Name","Size","CotyledonColor","TestaColor","TestaSubColor","TestaPattern","BlackTesta","area","perimeter","diameter","minor.axis","major.axis","SeedMass1000.2015","SeedMass1000.2016","SeedMass1000.2017","SeedMass1000.2018","Plumpness_2015","Plumpness_2016","Plumpness_2017","Plumpness_2018"
11,"CDC LeMay AGL",NA,"Yellow","Green","Green","Marbled","Pattern",0.204,1.6,0.51,NA,NA,26.8,33.1,32,38.7656033287101,NA,NA,NA,NA
12,"CDC Maxim AGL","M","Red","Grey","Grey","Absent","Absent",0.154,1.38,0.441,0.426,0.468,33.5,41.6,41,48.0257510729614,75.855540759518,94.1939546599497,92.9956188926678,108.874498654069
13,"CDC QG-1 AGL",NA,"Green","Dark Green","Dark Green","Absent","Absent",0.264,1.82,0.58,NA,NA,36,39,44.7,49.0430622009569,NA,NA,NA,NA
14,"CDC Red Rider AGL","M","Red","Grey","Grey","Absent","Absent",0.173,1.47,0.469,0.452,0.496,39.4,36.5,36.4,49.358372456964,84.0335341100055,77.7808753833287,77.5488818500083,105.266671116748
15,"CDC Redcoat AGL","M","Red","Grey","Grey","Absent","Absent",0.17,1.46,0.465,0.442,0.496,37.1,35.6,32.9,47.0728793309438,79.7496567944675,76.7033229739421,70.762170708486,101.280400186109
16,"CDC Redwing AGL","M","Red","Green","Green_P","Absent","Absent",0.175,1.48,0.472,0.457,0.495,24.9,30.9,28.7,42.0886981402003,52.7473254295021,65.4369193483236,60.8684417939022,89.255014906174
17,"CDC Robin AGL","S","Red","Brown","Brown","Mottle1","Mottle",0.122,1.23,0.393,0.371,0.427,26.8,25.2,24.1,31.5963855421687,68.2532248307085,64.176570458404,61.3799915337942,80.4661771022971
18,"CDC Rosebud AGL","M","Red","Tan","Tan","Mottle1","Mottle",0.133,1.29,0.411,0.39,0.45,27.1,25.3,23.2,32.6666666666667,65.8327603533083,61.5144069689524,56.4708285111308,79.4594594594595
19,"CDC Rosetown AGL","M","Red","Brown","Brown","Absent","Absent",0.133,1.29,0.411,0.396,0.439,27,32.5,25.1,34.9886363636364,65.5693852181713,79.1329011345219,60.9848263352947,85.0615146603802
20,"CDC Rouleau AGL","M","Red","Grey","Grey","Mottle0","Mottle",0.17,1.46,0.465,0.442,0.501,33.7,33.2,32.6,41.6684723726977,72.5864192620106,71.4490674318508,70.2151541987773,89.6739003716593
21,"CDC Royale AGL","L","Green","Dark Green","Dark Green","Marbled","Pattern",0.237,1.72,0.549,0.514,0.592,32,34.7,35,45.5710659898477,58.3093739984921,63.2302084306944,63.858512218172,83.0578359474745
22,"CDC Ruby AGL","M","Red","Grey","Grey","Absent","Absent",0.129,1.27,0.404,0.382,0.437,26.9,27.8,25.4,32.7024185068349,66.5720019073144,68.6692328842453,62.9318803219589,80.9243240477081
23,"CDC SB-1 AGL","S","Yellow","Grey","Grey_Y","Dotted","Pattern",0.124,1.25,0.397,0.379,0.434,30.8,30.5,31,37.35,77.565133333953,76.7954782822387,78.0975801926773,94.080604534005
